distribution,method,seed,base_dcor,mean_random_dcor,sd_random_dcor,min_random_dcor,max_random_dcor,fraction_better
e,ZCA,0,0.1424130068609254,0.13380661593939266,0.005153537619993852,0.12132686907683657,0.1451509781591891,0.96
e,ZCA,1,0.1386905331704406,0.13635113318634076,0.004844123028810844,0.12444422416469657,0.14909884619887653,0.64
e,ZCA,2,0.13052352601246528,0.12704286295186804,0.0043920538121370615,0.11708714490388145,0.13988733872804238,0.76
e,ZCA,3,0.12325092221274449,0.12633800589066188,0.0046594745636053024,0.11494541966855665,0.13723161885058668,0.26
e,ZCA,4,0.1298977049802903,0.1335397530571075,0.0049580551209208,0.1226213035736175,0.14804456914504588,0.26
e,ZCA,5,0.13275657009615768,0.13153285643635487,0.0045931908780106594,0.12043833625502531,0.14424356921710454,0.61
e,ZCA,6,0.1330898659220894,0.13056535767143618,0.004895870059374478,0.11914483264743184,0.1426168562655059,0.7
e,ZCA,7,0.14219546410990613,0.13483982367723038,0.004754719828980323,0.1249181251858218,0.1502248773869255,0.94
e,ZCA,8,0.13314121697963685,0.13499201762755525,0.004499713415829303,0.12321010640397338,0.14581852099287948,0.34
e,ZCA,9,0.12894713731237037,0.13076962978259418,0.004770010040344767,0.11969234683339992,0.14188065082570256,0.32
e,ZCA,10,0.13675446919372508,0.13363922263836744,0.004231360939398676,0.12240068668281154,0.1445995546815085,0.78
e,ZCA,11,0.12296912335988319,0.12765121359741274,0.004099374912126937,0.11769113586975032,0.1380629659489256,0.13
e,ZCA,12,0.1408822547932654,0.13054087863267844,0.004334396372463892,0.11743417632720775,0.14502581253270194,0.99
e,ZCA,13,0.13285095878998263,0.1290315951888306,0.00378716536936128,0.12026050173720017,0.13845446296234162,0.83
e,ZCA,14,0.12870603670882802,0.12959146014291684,0.004716176261409269,0.12097083809676927,0.1435332006589537,0.47
e,ZCA,15,0.12705128474131233,0.12710425425418084,0.004509338929519832,0.1161216869607564,0.13801216142839726,0.51
e,ZCA,16,0.1251304974052329,0.12934894839343833,0.004180149518343925,0.11944808504832641,0.1388648636893523,0.16
e,ZCA,17,0.1254303603916856,0.12826462897824364,0.004229526395679304,0.11828626826182534,0.1385211895098783,0.26
e,ZCA,18,0.11721669442764651,0.12555379900822725,0.004061860684136128,0.11615628563692922,0.13526128249723451,0.02
e,ZCA,19,0.12471617509603525,0.13243378480147747,0.004819812048526291,0.12026021013881678,0.1433081993755494,0.06
