seed,method,mean_dcor,max_dcor
0,ZCA,0.052571071982652595,0.0863254794482574
0,PCA,0.0533428361940513,0.09373696979503403
0,Cholesky,0.05405329084403585,0.1112089582502613
0,ZCA-cor,0.05229129669564431,0.09048738550724052
0,PCA-cor,0.05313522299707743,0.0981261454731005
1,ZCA,0.05287058302753448,0.09389483685773022
1,PCA,0.05422988352840691,0.11194802446809515
1,Cholesky,0.0545869544081848,0.11385027884990762
1,ZCA-cor,0.05288162653924832,0.09093129418891792
1,PCA-cor,0.053697938925867876,0.08670975990075444
2,ZCA,0.052305025740891554,0.08940920114103271
2,PCA,0.05363959884405856,0.10493464379086824
2,Cholesky,0.052387222703447506,0.09766413685775716
2,ZCA-cor,0.05207640648018762,0.08521841748907602
2,PCA-cor,0.053055440420746794,0.10218531454134841
3,ZCA,0.051932961800744505,0.08575118947675768
3,PCA,0.053261166240091654,0.11774292430296189
3,Cholesky,0.053172513024987135,0.08100703196939
3,ZCA-cor,0.05193511034041142,0.08892295377272222
3,PCA-cor,0.05306549913880513,0.13916213907160738
4,ZCA,0.05299415569703493,0.09915749348296266
4,PCA,0.05227497946888349,0.08229287397655617
4,Cholesky,0.05166485217636558,0.09012251046531126
4,ZCA-cor,0.05275790705558861,0.09190862455305125
4,PCA-cor,0.05268272569268724,0.10736112790937433
5,ZCA,0.05384572203064446,0.14373194801770114
5,PCA,0.0557087378792725,0.11403241916203737
5,Cholesky,0.05385367320491731,0.1332780633706939
5,ZCA-cor,0.05388089354031093,0.1514681084372627
5,PCA-cor,0.054054749049837154,0.11467567918576578
6,ZCA,0.05422572427544253,0.10878566500990772
6,PCA,0.053569424082687736,0.1289661220829454
6,Cholesky,0.05456568946288287,0.1360110765612082
6,ZCA-cor,0.053993462704812985,0.10603862537664932
6,PCA-cor,0.0527480117372841,0.12528370640209532
7,ZCA,0.05220635226573564,0.10064021206940249
7,PCA,0.05241194204911864,0.08133136805977478
7,Cholesky,0.051804004370484324,0.08862562817923107
7,ZCA-cor,0.05233181707404764,0.10017405738242208
7,PCA-cor,0.05310406573843591,0.10136056750384652
8,ZCA,0.05336682225560635,0.09714943120986456
8,PCA,0.05258740344832586,0.09131489718306715
8,Cholesky,0.05283864428596994,0.11721187900973977
8,ZCA-cor,0.05344893439834413,0.0960546087168366
8,PCA-cor,0.05372193661646161,0.09127312613612647
9,ZCA,0.054837026071603054,0.08779970905457783
9,PCA,0.05519331489689981,0.11480152631398806
9,Cholesky,0.0544635047682304,0.1535530548775531
9,ZCA-cor,0.05490579521674656,0.08819402282429915
9,PCA-cor,0.05571104808765212,0.08765860374725992
10,ZCA,0.05309817630080309,0.11430510857978621
10,PCA,0.052938262631495675,0.09320855564094348
10,Cholesky,0.05329116556572804,0.0974996788861425
10,ZCA-cor,0.052969718997395075,0.11213562551763344
10,PCA-cor,0.05411103636990523,0.12667709508320105
11,ZCA,0.05663701224903782,0.13385205409200654
11,PCA,0.05755621140093639,0.12509350016892581
11,Cholesky,0.05818659923865243,0.13060128574217467
11,ZCA-cor,0.056505184132876696,0.13404067637012523
11,PCA-cor,0.05642556655930961,0.14808889563243027
12,ZCA,0.05378678037318888,0.11120798034545888
12,PCA,0.05545976965911197,0.10067449595162974
12,Cholesky,0.05356551436049726,0.12762855317384092
12,ZCA-cor,0.05333120968934238,0.11315284185161428
12,PCA-cor,0.05390662170481336,0.10067683197854485
13,ZCA,0.054265456585316625,0.12430566359241296
13,PCA,0.05564485807477647,0.11947575242264027
13,Cholesky,0.05376089174842108,0.09437683383617275
13,ZCA-cor,0.054093437530914126,0.1227650222577329
13,PCA-cor,0.05383096530462975,0.10614359372356182
14,ZCA,0.053328241220051156,0.10524718775911794
14,PCA,0.05412153631196569,0.12467570834798258
14,Cholesky,0.0542713574535259,0.11610536072399215
14,ZCA-cor,0.05327307824748071,0.10104470319083934
14,PCA-cor,0.05251147652046087,0.10704799942441387
15,ZCA,0.05614773501297604,0.1640725548784053
15,PCA,0.05635839764923703,0.1121445009393919
15,Cholesky,0.055636927688217236,0.14347355302375275
15,ZCA-cor,0.05607856009516391,0.16819427431014827
15,PCA-cor,0.056796836227396244,0.11381254107253858
16,ZCA,0.05282264052106992,0.09593144226766444
16,PCA,0.054059562219661586,0.09890985117397375
16,Cholesky,0.05342123266395268,0.08655914852662443
16,ZCA-cor,0.05296551814623276,0.0973422924106275
16,PCA-cor,0.05321084247839448,0.10984837463653388
17,ZCA,0.0517115194956165,0.1002205928379751
17,PCA,0.053591104180716664,0.13449779115653046
17,Cholesky,0.05362179320815237,0.11049567685081287
17,ZCA-cor,0.05191587597066732,0.09738156890433301
17,PCA-cor,0.053810826692829376,0.12349530181403863
18,ZCA,0.051452349488006366,0.09630780816126631
18,PCA,0.053549609469366384,0.13585404664759645
18,Cholesky,0.05266788015713667,0.09389671144552035
18,ZCA-cor,0.051438564834054776,0.0943570345577927
18,PCA-cor,0.05399370019553631,0.1258690134092625
19,ZCA,0.055817158078921375,0.13258596291166677
19,PCA,0.054290530314244974,0.10562001848741469
19,Cholesky,0.0532844738135675,0.143868077114633
19,ZCA-cor,0.05589139788850222,0.13303189597858847
19,PCA-cor,0.05520695397268926,0.12653885784026248
